generation,best_fitness,average_fitness,variance_fitness,duration_sec,population_size,steps_per_generation
0,29.31018610151112,29.07162051534463,0.10686934929434012,37.097862005233765,20,857
1,29.31018610151112,29.31018610151112,0.0,32.961029052734375,20,880
2,29.31018610151112,29.31018610151112,0.0,32.37249135971069,20,880
3,29.31018610151112,29.31018610151112,0.0,32.210655212402344,20,880
4,29.31018610151112,29.31018610151112,0.0,32.51965141296387,20,880
5,29.31018610151112,29.31018610151112,0.0,32.89436602592468,20,880
6,29.31018610151112,29.31018610151112,0.0,33.42315745353699,20,880
7,29.31018610151112,29.31018610151112,0.0,32.76509189605713,20,880
8,29.31018610151112,29.31018610151112,0.0,32.48923420906067,20,880
9,29.31018610151112,29.31018610151112,0.0,32.79191184043884,20,880
