generation,best_fitness,average_fitness,variance_fitness,duration_sec,population_size,steps_per_generation
0,28.561831842337526,28.561831842337526,0.0,0.0026366710662841797,20,800
1,28.561831842337526,28.561831842337526,0.0,0.002410411834716797,20,800
2,28.561831842337526,28.561831842337526,0.0,0.0030760765075683594,20,800
3,28.561831842337526,28.561831842337526,0.0,0.002434253692626953,20,800
4,28.561831842337526,28.561831842337526,0.0,0.0024645328521728516,20,800
5,28.561831842337526,28.561831842337526,0.0,0.002932310104370117,20,800
6,28.561831842337526,28.561831842337526,0.0,0.0024819374084472656,20,800
7,28.561831842337526,28.561831842337526,0.0,0.002530336380004883,20,800
8,28.561831842337526,28.561831842337526,0.0,0.005064487457275391,20,800
9,28.561831842337526,28.561831842337526,0.0,0.002301454544067383,20,800
