generation,best_fitness,average_fitness,variance_fitness,duration_sec,population_size,steps_per_generation
0,29.31018610151112,29.0346928303646,0.11527148555341249,0.0016853809356689453,10,427
1,29.31018610151112,29.013530241901282,0.07093748421650194,0.0023415088653564453,10,429
2,29.31018610151112,29.0346928303646,0.11527148555341249,0.0013875961303710938,10,427
3,29.31018610151112,29.089345723775942,0.052935170980727975,0.0014824867248535156,10,434
4,29.31018610151112,29.05848926898467,0.10330496421042214,0.0017392635345458984,10,429
5,29.31018610151112,28.978351608901256,0.08081221884152764,0.0013225078582763672,10,427
6,29.31018610151112,29.18436368219932,0.06332992735429559,0.001279592514038086,10,435
7,29.31018610151112,28.98566594888476,0.10654623714106239,0.0012538433074951172,10,428
8,29.31018610151112,29.168555321804906,0.050275563559203706,0.0012772083282470703,10,436
9,29.31018610151112,29.05756120693022,0.09573620986561243,0.0012857913970947266,10,429
