generation,best_fitness,average_fitness,variance_fitness,duration_sec,population_size,steps_per_generation
0,28.561831842337526,28.561831842337526,0.0,0.0,20,800
1,28.561831842337526,28.561831842337526,0.0,0.015627145767211914,20,800
2,28.561831842337526,28.561831842337526,0.0,0.0,20,800
3,28.561831842337526,28.561831842337526,0.0,0.0,20,800
4,28.561831842337526,28.561831842337526,0.0,0.015621662139892578,20,800
5,28.561831842337526,28.561831842337526,0.0,0.0,20,800
6,28.561831842337526,28.561831842337526,0.0,0.01764845848083496,20,800
7,28.561831842337526,28.561831842337526,0.0,0.0,20,800
8,28.561831842337526,28.561831842337526,0.0,0.012554645538330078,20,800
9,28.561831842337526,28.561831842337526,0.0,0.007996559143066406,20,800
