generation,best_fitness,average_fitness,variance_fitness,duration_sec,population_size,steps_per_generation
0,29.31018610151112,29.097604040020503,0.10639629085493577,0.018140554428100586,20,859
1,29.31018610151112,29.09423592081762,0.07492028414075812,0.04687356948852539,20,866
2,29.31018610151112,29.073427468401654,0.07874286627278702,0.02273869514465332,20,862
3,29.31018610151112,29.128123625690698,0.08062573872387584,0.018988370895385742,20,867
4,29.31018610151112,29.11521935347194,0.09341638654528849,0.004148721694946289,20,862
5,29.31018610151112,28.96485749646879,0.10585047308355591,0.03124833106994629,20,852
6,29.31018610151112,29.270581302496637,0.014116860944797801,0.015627384185791016,20,878
7,29.31018610151112,29.001295153470174,0.10292012601732098,0.018412113189697266,20,854
8,29.31018610151112,29.19976591264353,0.03866020359991821,0.021864891052246094,20,874
9,29.31018610151112,29.13685470298763,0.06038965227324853,0.019120216369628906,20,869
